title,runtime,imdb_score,votes,genre
Moana 2,100,6.7,91000,fantasy
Megalopolis,138,4.7,35000,fantasy
Barroz: Guardian of Treasures,155,0.0,0,fantasy
Snatched a Billionaire to Be My Husband,70,0.0,0,fantasy
Sketch,92,0.0,0,fantasy
White Snake: Afloat,133,0.0,0,fantasy
Super-Charlie,80,0.0,0,fantasy
The Invisibles,111,0.0,0,fantasy
Else,100,0.0,0,fantasy
The Keepers of the 5 Kingdoms,109,0.0,0,fantasy
Balestra,145,0.0,0,fantasy
Schneewittchen,70,0.0,0,fantasy
Solo Leveling: ReAwakening,121,8.8,8600,fantasy
School of Magical Animals 3,105,0.0,0,fantasy
The Witch: Revenge,100,0.0,0,fantasy
Nonostante,93,0.0,0,fantasy
The Sleeping Woman,110,0.0,0,fantasy
Shrek 5: The Contract - A Fan Made Film,84,0.0,0,fantasy
The Opera!,106,0.0,0,fantasy
The Goat,100,0.0,0,fantasy
A Trip Elsewhere,93,0.0,0,fantasy
The Slave and the Sorcerer,86,0.0,0,fantasy
Witch,107,0.0,0,fantasy
Beetlejuice Beetlejuice,105,6.7,144000,fantasy
Dongeng Sang Kancil,99,0.0,0,fantasy
Lesbian Space Princess,87,0.0,0,fantasy
Orang Ikan,83,0.0,0,fantasy
The Phantom Warrior,119,0.0,0,fantasy
The Casagrandes Movie,89,5.6,0,fantasy
Once Upon a Christmas Wish,90,0.0,0,fantasy
"Maya, donne-moi un titre",61,0.0,0,fantasy
Tim Travers & the Time Travelers Paradox,95,0.0,0,fantasy
UmroAyyar - A New Beginning,135,0.0,0,fantasy
Inside Out 2,96,7.5,212000,fantasy
The Yin Yang Master Zero,112,0.0,0,fantasy
Sun and Moon,163,0.0,0,fantasy
Enchanting Christmas,91,0.0,0,fantasy
Witch Hunter,80,0.0,0,fantasy
Last Song for You,110,0.0,0,fantasy
Aalan,137,0.0,0,fantasy
My Oni Girl,112,6.0,1700,fantasy
Elli and the Ghostly Ghost Train,86,0.0,0,fantasy
"Die Heinzels: Neue Mützen, Neue Mission",76,0.0,0,fantasy
The Ballad of Hortensia,94,0.0,0,fantasy
The Life of Chuck,110,7.7,0,fantasy
Fuuto PI: Portrait of Kamen Rider Skull,82,0.0,0,fantasy
Letuchiy korabl,100,0.0,0,fantasy
Bremenskie muzykanty,115,0.0,0,fantasy
Spirit World,94,0.0,0,fantasy
Fidil Ghorm,86,0.0,0,fantasy
Empire Queen: The Golden Age of Magic,148,0.0,0,fantasy
Phallacies,101,0.0,0,fantasy
Hanami,96,0.0,0,fantasy
Damsel,110,6.1,108000,fantasy
Zak & Wowo: The Legend of Lendarys,85,0.0,0,fantasy
Una ballena,108,0.0,0,fantasy
Taisu Xilie,100,0.0,0,fantasy
Gaami,147,6.4,2000,fantasy
The Epidemic,95,0.0,0,fantasy
The Sisters,122,0.0,0,fantasy
White Cobra Diamond Fox vs the Golden Eye,90,0.0,0,fantasy
Vertical,111,0.0,0,fantasy
Dr. Sander's Sleep Cure,98,0.0,0,fantasy
The Watchers,102,5.7,56000,fantasy
King Baby,88,0.0,0,fantasy
Oshi no Ko: The Final Act,129,0.0,0,fantasy
We Work for the Dead,84,0.0,0,fantasy
Seven Seas Seven Hills,90,0.0,0,fantasy
River of Ghosts,102,0.0,0,fantasy
Mayan,113,0.0,0,fantasy
War of the Ninja Monsters: Jaron vs Goura,55,0.0,0,fantasy
The Time Travel Hills,82,0.0,0,fantasy
Dead Dead Demon's Dededede Destruction,120,0.0,0,fantasy
My Future You,109,8.5,0,fantasy
The Crow,111,4.7,33000,fantasy
Nyctophobia,90,0.0,0,fantasy
My Redneck Neighbor: Chapter 2 - Let the Games Begin,55,0.0,0,fantasy
The Heartsmith,95,0.0,0,fantasy
Bodegón con fantasmas,88,0.0,0,fantasy
The Vord,101,0.0,0,fantasy
Schirkoa: In Lies We Trust,103,0.0,0,fantasy
A Song from the Dark,105,0.0,0,fantasy
All In,103,0.0,0,fantasy
IF,104,6.4,57000,fantasy
Don Dukun,98,0.0,0,fantasy
The Evil Fairy Queen,90,0.0,0,fantasy
Saint Young Men: Holy Men vs Demon Army,93,0.0,0,fantasy
The Fisherman,105,0.0,0,fantasy
Penguin Girl,98,0.0,0,fantasy
The Woods Are Real,80,0.0,0,fantasy
Captain Avispa,96,5.8,0,fantasy
